id,slug,name,kind,country,homepage_url,wikidata_qid,unknowns,pub_state,published_at,reviewed_on,next_review_on,revision,created_at,updated_at
43,harakah,Harakah,other,MY,,,,published,2026-09-22T22:51:03Z,2026-09-22,2026-12-22,1,2026-09-22T22:51:02Z,2026-09-22T22:51:03Z
44,washington-post,The Washington Post,other,US,https://www.washingtonpost.com/,,,published,2026-09-22T22:51:04Z,2026-09-22,2026-12-22,2,2026-09-22T22:51:04Z,2026-09-23T01:27:29Z
45,marion-county-record,Marion County Record,newspaper,US,https://www.marioncountyrecord.com/,,,published,2026-09-22T22:51:06Z,2026-09-22,2026-12-22,1,2026-09-22T22:51:05Z,2026-09-22T22:51:06Z
46,nbc-news,NBC News,broadcaster,US,https://www.nbcnews.com/,,,published,2026-09-22T22:52:40Z,2026-09-22,2026-12-22,2,2026-09-22T22:51:06Z,2026-09-22T22:52:40Z
47,des-moines-register,Des Moines Register,newspaper,US,https://www.desmoinesregister.com/,,,published,2026-09-22T22:52:42Z,2026-09-22,2026-12-22,1,2026-09-22T22:52:41Z,2026-09-22T22:52:42Z
48,nine-news-australia,Nine News Australia,broadcaster,AU,https://www.9news.com.au/,,,published,2026-09-22T22:52:43Z,2026-09-22,2026-12-22,1,2026-09-22T22:52:42Z,2026-09-22T22:52:43Z
49,project-veritas,Project Veritas,other,US,https://www.projectveritas.com/,,,published,2026-09-22T22:52:44Z,2026-09-22,2026-12-22,1,2026-09-22T22:52:44Z,2026-09-22T22:52:44Z
50,the-grayzone,The Grayzone,digital,US,https://thegrayzone.com/,,,published,2026-09-22T22:52:46Z,2026-09-22,2026-12-22,1,2026-09-22T22:52:45Z,2026-09-22T22:52:46Z
51,tut-by,Tut.by,digital,BY,https://зеркало.io/,,,published,2026-09-22T22:52:47Z,2026-09-22,2026-12-22,1,2026-09-22T22:52:46Z,2026-09-22T22:52:47Z
52,el-periodico,El Periodico,newspaper,GT,https://elperiodico.com.gt/,,,published,2026-09-22T22:52:48Z,2026-09-22,2026-12-22,1,2026-09-22T22:52:47Z,2026-09-22T22:52:48Z
53,la-prensa,La Prensa,newspaper,NI,https://www.laprensani.com/,,,published,2026-09-22T22:52:50Z,2026-09-22,2026-12-22,1,2026-09-22T22:52:49Z,2026-09-22T22:52:50Z
54,rtvs-stvr,RTVS / STVR,public_media,SK,https://www.stvr.sk/,,,published,2026-09-22T22:52:51Z,2026-09-22,2026-12-22,1,2026-09-22T22:52:51Z,2026-09-22T22:52:51Z
55,stand-news,Stand News,digital,HK,,,,published,2026-09-22T22:52:53Z,2026-09-22,2026-12-22,1,2026-09-22T22:52:52Z,2026-09-22T22:52:53Z
56,telam,Telam,wire_service,AR,,,,published,2026-09-22T22:52:54Z,2026-09-22,2026-12-22,1,2026-09-22T22:52:53Z,2026-09-22T22:52:54Z
57,sheger-fm,Sheger FM 102.1,broadcaster,ET,,,,published,2026-09-22T22:52:55Z,2026-09-22,2026-12-22,1,2026-09-22T22:52:54Z,2026-09-22T22:52:55Z
58,n1-tv,N1,broadcaster,RS,https://n1info.rs/,,,published,2026-09-22T22:52:56Z,2026-09-22,2026-12-22,1,2026-09-22T22:52:56Z,2026-09-22T22:52:56Z
59,agence-france-presse,Agence France-Presse,wire_service,FR,https://www.afp.com/,,,published,2026-09-23T01:08:15Z,2026-09-22,2026-12-22,3,2026-09-23T01:08:15Z,2026-09-23T01:25:57Z
60,al-manassa,Al-Manassa,digital,EG,https://www.almanassa.com/,,,published,2026-09-23T01:08:17Z,2026-09-22,2026-12-22,3,2026-09-23T01:08:16Z,2026-09-23T01:25:59Z
61,al-mashhad,Al-Mashhad,digital,EG,,,,published,2026-09-23T01:08:19Z,2026-09-22,2026-12-22,3,2026-09-23T01:08:18Z,2026-09-23T01:26:00Z
62,aristegui-noticias,Aristegui Noticias,digital,MX,https://aristeguinoticias.com/,,,published,2026-09-23T01:08:22Z,2026-09-22,2026-12-22,3,2026-09-23T01:08:22Z,2026-09-23T01:26:04Z
63,bbc-russian,BBC Russian,broadcaster,GB,,,,published,2026-09-23T01:08:27Z,2026-09-22,2026-12-22,3,2026-09-23T01:08:27Z,2026-09-23T01:26:08Z
64,belsat-tv,Belsat TV,broadcaster,PL,https://belsat.eu/,,,published,2026-09-23T01:08:29Z,2026-09-22,2026-12-22,3,2026-09-23T01:08:28Z,2026-09-23T01:26:09Z
65,cbc-radio-canada,CBC/Radio-Canada,broadcaster,CA,https://www.cbc.ca/,,,published,2026-09-23T01:08:30Z,2026-09-22,2026-12-22,3,2026-09-23T01:08:30Z,2026-09-23T01:26:11Z
66,cihan-news-agency,Cihan News Agency,wire_service,TR,,,,published,2026-09-23T01:08:32Z,2026-09-22,2026-12-22,3,2026-09-23T01:08:31Z,2026-09-23T01:26:12Z
67,cnn-turk,CNN Turk,broadcaster,TR,,,,published,2026-09-23T01:08:33Z,2026-09-22,2026-12-22,3,2026-09-23T01:08:33Z,2026-09-23T01:26:14Z
68,current-tv,Current TV,broadcaster,US,,,,published,2026-09-23T01:08:35Z,2026-09-22,2026-12-22,3,2026-09-23T01:08:34Z,2026-09-23T01:26:15Z
69,daily-news-zimbabwe,Daily News,newspaper,ZW,,,,published,2026-09-23T01:08:36Z,2026-09-22,2026-12-22,3,2026-09-23T01:08:36Z,2026-09-23T01:26:17Z
70,deutsche-welle,Deutsche Welle,broadcaster,DE,https://www.dw.com/,,,published,2026-09-23T01:08:38Z,2026-09-22,2026-12-22,3,2026-09-23T01:08:37Z,2026-09-23T01:26:18Z
71,direkt36,Direkt36,digital,HU,https://www.direkt36.hu/,,,published,2026-09-23T01:08:39Z,2026-09-22,2026-12-22,3,2026-09-23T01:08:38Z,2026-09-23T01:26:23Z
72,dogan-holding,Dogan Holding,other,TR,,,,published,2026-09-23T01:08:40Z,2026-09-22,2026-12-22,3,2026-09-23T01:08:40Z,2026-09-23T01:26:25Z
73,evrensel,Evrensel,newspaper,TR,https://www.evrensel.net/,,,published,2026-09-23T01:08:42Z,2026-09-22,2026-12-22,3,2026-09-23T01:08:41Z,2026-09-23T01:26:26Z
74,feza-media-group,Feza Media Group,other,TR,,,,published,2026-09-23T01:08:43Z,2026-09-22,2026-12-22,3,2026-09-23T01:08:43Z,2026-09-23T01:26:28Z
75,fox-tv-turkey,FOX TV Turkiye,broadcaster,TR,,,,published,2026-09-23T01:08:45Z,2026-09-22,2026-12-22,3,2026-09-23T01:08:44Z,2026-09-23T01:26:29Z
76,gaon-savera,Gaon Savera,digital,IN,,,,published,2026-09-23T01:08:46Z,2026-09-22,2026-12-22,3,2026-09-23T01:08:45Z,2026-09-23T01:26:30Z
77,guangming-daily,Guangming Daily,newspaper,CN,,,,published,2026-09-23T01:08:48Z,2026-09-22,2026-12-22,3,2026-09-23T01:08:47Z,2026-09-23T01:26:32Z
78,haaretz,Haaretz,newspaper,IL,https://www.haaretz.com/,,,published,2026-09-23T01:08:49Z,2026-09-22,2026-12-22,3,2026-09-23T01:08:48Z,2026-09-23T01:26:33Z
79,halk-tv,Halk TV,broadcaster,TR,,,,published,2026-09-23T01:08:50Z,2026-09-22,2026-12-22,3,2026-09-23T01:08:50Z,2026-09-23T01:26:35Z
80,ham-mihan,Ham-Mihan,newspaper,IR,,,,published,2026-09-23T01:08:52Z,2026-09-22,2026-12-22,3,2026-09-23T01:08:51Z,2026-09-23T01:26:36Z
81,hurriyet,Hurriyet,newspaper,TR,,,,published,2026-09-23T01:08:53Z,2026-09-22,2026-12-22,3,2026-09-23T01:08:53Z,2026-09-23T01:26:37Z
82,index-hu,Index.hu,digital,HU,https://index.hu/,,,published,2026-09-23T01:08:55Z,2026-09-22,2026-12-22,3,2026-09-23T01:08:54Z,2026-09-23T01:26:39Z
83,kesma-network,KESMA member outlets,broadcaster,HU,,,,published,2026-09-23T01:08:56Z,2026-09-22,2026-12-22,3,2026-09-23T01:08:55Z,2026-09-23T01:26:41Z
84,klubradio,Klubradio,broadcaster,HU,https://www.klubradio.hu/,,,published,2026-09-23T01:08:58Z,2026-09-22,2026-12-22,3,2026-09-23T01:08:57Z,2026-09-23T01:26:43Z
85,kommersant,Kommersant,newspaper,RU,https://www.kommersant.ru/,,,published,2026-09-23T01:08:59Z,2026-09-22,2026-12-22,3,2026-09-23T01:08:58Z,2026-09-23T01:26:44Z
86,le-desk,Le Desk,digital,MA,https://ledesk.ma/,,,published,2026-09-23T01:09:00Z,2026-09-22,2026-12-22,3,2026-09-23T01:09:00Z,2026-09-23T01:26:46Z
87,meduza,Meduza,digital,RU,https://meduza.io/,,,published,2026-09-23T01:09:02Z,2026-09-22,2026-12-22,3,2026-09-23T01:09:01Z,2026-09-23T01:26:47Z
88,mezopotamya-news-agency,Mezopotamya News Agency,wire_service,TR,,,,published,2026-09-23T01:09:03Z,2026-09-22,2026-12-22,3,2026-09-23T01:09:02Z,2026-09-23T01:26:48Z
89,orda,Orda,digital,KZ,,,,published,2026-09-23T01:09:06Z,2026-09-22,2026-12-22,3,2026-09-23T01:09:05Z,2026-09-23T01:26:53Z
90,oy-magazine,Voice of Taksin magazine,magazine,TH,,,,published,2026-09-23T01:09:07Z,2026-09-22,2026-12-22,3,2026-09-23T01:09:06Z,2026-09-23T01:26:54Z
91,pasmi,PASMI,digital,RU,,,,published,2026-09-23T01:09:08Z,2026-09-22,2026-12-22,3,2026-09-23T01:09:08Z,2026-09-23T01:26:56Z
92,polska-press,Polska Press,newspaper,PL,,,,published,2026-09-23T01:09:10Z,2026-09-22,2026-12-22,3,2026-09-23T01:09:09Z,2026-09-23T01:26:57Z
93,radio-azattyq,Radio Azattyq (RFE/RL Kazakh Service),broadcaster,KZ,https://www.azattyq.org/,,,published,2026-09-23T01:09:12Z,2026-09-22,2026-12-22,3,2026-09-23T01:09:11Z,2026-09-23T01:26:59Z
94,radio-free-europe-radio-liberty,Radio Free Europe/Radio Liberty,broadcaster,CZ,,,,published,2026-09-23T01:09:13Z,2026-09-22,2026-12-22,3,2026-09-23T01:09:12Z,2026-09-23T01:27:00Z
95,radio-liberty,Radio Free Europe/Radio Liberty,broadcaster,CZ,https://www.rferl.org/,,,published,2026-09-23T01:09:15Z,2026-09-22,2026-12-22,3,2026-09-23T01:09:14Z,2026-09-23T01:27:02Z
96,rappler,Rappler,digital,PH,https://www.rappler.com/,,,published,2026-09-23T01:09:16Z,2026-09-22,2026-12-22,3,2026-09-23T01:09:15Z,2026-09-23T01:27:03Z
97,rctv,Radio Caracas Television (RCTV),broadcaster,VE,,,,published,2026-09-23T01:09:17Z,2026-09-22,2026-12-22,3,2026-09-23T01:09:17Z,2026-09-23T01:27:04Z
98,regionalnaya-gazeta,Regionalnaya Gazeta,newspaper,BY,,,,published,2026-09-23T01:09:19Z,2026-09-22,2026-12-22,3,2026-09-23T01:09:18Z,2026-09-23T01:27:06Z
99,rusnews,RusNews,digital,RU,,,,published,2026-09-23T01:09:22Z,2026-09-22,2026-12-22,3,2026-09-23T01:09:21Z,2026-09-23T01:27:08Z
100,setit,Setit,newspaper,ER,,,,published,2026-09-23T01:09:24Z,2026-09-22,2026-12-22,3,2026-09-23T01:09:23Z,2026-09-23T01:27:10Z
101,shargh,Shargh,newspaper,IR,,,,published,2026-09-23T01:09:25Z,2026-09-22,2026-12-22,3,2026-09-23T01:09:24Z,2026-09-23T01:27:11Z
102,tele1,TELE1,broadcaster,TR,,,,published,2026-09-23T01:11:50Z,2026-09-22,2026-12-22,3,2026-09-23T01:09:26Z,2026-09-23T01:27:13Z
103,telex,Telex,digital,HU,https://telex.hu/,,,published,2026-09-23T01:11:51Z,2026-09-22,2026-12-22,2,2026-09-23T01:11:51Z,2026-09-23T01:27:14Z
104,the-economist,The Economist,magazine,GB,https://www.economist.com/,,,published,2026-09-23T01:11:53Z,2026-09-22,2026-12-22,2,2026-09-23T01:11:52Z,2026-09-23T01:27:16Z
105,the-new-times,The New Times,magazine,RU,,,,published,2026-09-23T01:11:54Z,2026-09-22,2026-12-22,2,2026-09-23T01:11:54Z,2026-09-23T01:27:17Z
106,the-vietnamese,The Vietnamese,digital,VN,,,,published,2026-09-23T01:11:56Z,2026-09-22,2026-12-22,2,2026-09-23T01:11:55Z,2026-09-23T01:27:19Z
107,time-magazine,Time,magazine,US,https://time.com/,,,published,2026-09-23T01:11:57Z,2026-09-22,2026-12-22,2,2026-09-23T01:11:57Z,2026-09-23T01:27:20Z
108,todays-zaman,Today's Zaman,newspaper,TR,,,,published,2026-09-23T01:11:59Z,2026-09-22,2026-12-22,2,2026-09-23T01:11:58Z,2026-09-23T01:27:22Z
109,vedomosti,Vedomosti,newspaper,RU,https://www.vedomosti.ru/,,,published,2026-09-23T01:12:00Z,2026-09-22,2026-12-22,2,2026-09-23T01:11:59Z,2026-09-23T01:27:23Z
110,voice-of-democracy,Voice of Democracy,digital,KH,,,,published,2026-09-23T01:12:04Z,2026-09-22,2026-12-22,2,2026-09-23T01:12:03Z,2026-09-23T01:27:26Z
111,zaman,Zaman,newspaper,TR,,,,published,2026-09-23T01:12:07Z,2026-09-22,2026-12-22,2,2026-09-23T01:12:07Z,2026-09-23T01:27:30Z
